Ku,location,Land Classification,Building_Risk,Building_Risk_Rank,Building_Risk_Level,Fire_Risk,Fire_Risk_Rank,Fire_Risk_Level,Life_Difficulty_Risk,Life_Difficulty_Risk_Rank,Life_Difficulty_Risk_Level,Total_Risk,Total_Risk_Rank,Total_Risk_Level
荒川区,町屋４丁目,沖積低地4,19.74,8,5,35.76,6,5,0.32,42,4,17.76,1,5
足立区,千住　柳町,沖積低地4,21.37,5,5,55.83,1,5,0.2,332,3,15.54,2,5
荒川区,荒川６丁目,沖積低地3,16.41,24,5,36.54,5,5,0.24,168,3,12.52,3,5
足立区,千住　大川町,沖積低地4,17.04,20,5,41.68,4,5,0.21,279,3,12.36,4,5
墨田区,墨田３丁目,沖積低地4,19.54,11,5,43.28,3,5,0.19,400,3,12.13,5,5
北区,志茂４丁目,沖積低地5,12.06,111,4,28.61,14,5,0.3,66,4,12.12,6,5
墨田区,京島２丁目,沖積低地4,28.88,1,5,55.59,2,5,0.13,917,2,11.01,7,5
江東区,北砂４丁目,沖積低地5,15.8,28,5,20.9,23,5,0.27,105,4,9.86,8,5
大田区,羽田６丁目,沖積低地4,16.48,23,5,28.83,13,5,0.21,280,3,9.68,9,5
足立区,千住　元町,沖積低地5,12.76,84,5,33.86,7,5,0.2,333,3,9.13,10,5
足立区,柳原２丁目,沖積低地4,22.12,4,5,29.44,12,5,0.18,474,3,9.05,11,5
墨田区,押上３丁目,沖積低地4,15.32,34,5,33.72,8,5,0.17,556,2,8.3,12,5
墨田区,東向島１丁目,沖積低地4,19.19,12,5,29.81,10,5,0.16,641,2,7.66,13,5
大田区,羽田３丁目,沖積低地3,15.2,38,5,28.6,15,5,0.17,557,3,7.6,14,5
墨田区,八広３丁目,沖積低地4,15.36,31,5,26.58,18,5,0.18,476,3,7.42,15,5
江東区,北砂３丁目,沖積低地5,12.98,76,5,26.96,17,5,0.18,475,3,7.08,16,5
足立区,千住　龍田町,沖積低地4,16.52,22,5,22.47,21,5,0.18,477,3,6.91,17,5
北区,志茂５丁目,沖積低地5,10.33,199,4,26.15,20,5,0.19,401,3,6.76,18,5
荒川区,荒川３丁目,沖積低地3,13.35,68,5,17.97,30,5,0.21,281,3,6.64,19,5
足立区,関原２丁目,沖積低地5,15.31,35,5,18.13,28,5,0.19,402,3,6.43,20,5
葛飾区,東四つ木３丁目,沖積低地4,12.81,82,5,27.91,16,5,0.16,642,2,6.37,21,5
大田区,西蒲田４丁目,沖積低地3,10.7,170,4,7.27,140,4,0.34,32,4,6.15,22,5
荒川区,南千住１丁目,沖積低地4,20.55,6,5,19.47,25,5,0.15,725,2,6.13,23,5
足立区,関原３丁目,沖積低地5,13.82,61,5,14.17,45,5,0.22,232,3,6.09,24,5
