,Stations,LAT,LON,ShinjukuMade,ShinjukuDist,TokyoMade,TokyoDist,ShibuyaMade,ShibuyaDist,IkebukuroMade,IkebukuroDist,UenoMade,UenoDist,ShinagawaMade,ShinagawaDist,Lat_Lon
0,上井草駅,35.72525800000001,139.60295,34.266666666666666,10.6 km,42.9,25.8 km,41.93333333333333,16.2 km,36.75,11.3 km,53.21666666666667,17.0 km,53.13333333333333,26.9 km,"35.72525800000001, 139.60295"
1,本駒込駅,35.72504,139.75365,28.41666666666667,8.5 km,18.483333333333334,5.5 km,27.066666666666666,14.4 km,21.2,6.2 km,11.283333333333333,3.2 km,29.43333333333333,13.7 km,"35.72504, 139.75365"
2,五反田駅,35.62616,139.7236,27.6,9.1 km,13.833333333333336,10.7 km,13.85,4.1 km,29.43333333333333,19.8 km,18.65,14.4 km,14.0,3.5 km,"35.62616, 139.7236"
3,鶯谷駅,35.721554,139.77907,34.38333333333333,10.5 km,13.666666666666664,6.5 km,24.65,15.5 km,27.88333333333333,15.7 km,6.066666666666666,1.8 km,21.58333333333333,12.7 km,"35.721554, 139.77907"
4,新宿御苑前駅,35.68858,139.71068,6.066666666666666,1.1 km,19.666666666666668,6.1 km,14.416666666666664,4.4 km,19.03333333333333,5.5 km,25.61666666666667,7.6 km,27.11666666666667,11.8 km,"35.68858, 139.71068"
5,亀戸駅,35.697296,139.82599,33.55,15.1 km,20.216666666666665,6.1 km,26.716666666666665,16.7 km,31.266666666666666,24.3 km,19.316666666666666,6.3 km,23.63333333333333,14.0 km,"35.697296, 139.82599"
6,練馬駅,35.737843,139.65392,28.7,9.5 km,32.78333333333333,17.4 km,35.28333333333333,15.2 km,21.98333333333333,6.3 km,40.766666666666666,13.0 km,42.2,24.4 km,"35.737843, 139.65392"
7,井荻駅,35.724674,139.61562,31.41666666666667,10.7 km,40.0,25.1 km,38.0,16.4 km,32.25,10.8 km,48.4,15.8 km,49.2,27.1 km,"35.724674, 139.61562"
8,高田馬場駅,35.713046999999996,139.70407,13.166666666666664,3.3 km,21.4,10.3 km,22.98333333333333,6.8 km,12.25,3.2 km,25.93333333333333,7.5 km,30.8,17.3 km,"35.713047, 139.70407"
9,江戸川橋駅,35.709236,139.7341,18.7,5.0 km,18.716666666666665,5.1 km,26.36666666666667,7.5 km,14.95,4.1 km,16.583333333333332,4.5 km,26.66666666666667,16.4 km,"35.709236, 139.7341"
10,大塚駅,35.73183,139.7281,26.716666666666665,7.1 km,18.53333333333333,10.7 km,28.13333333333333,17.5 km,13.466666666666667,2.8 km,23.1,6.5 km,27.95,17.7 km,"35.73183, 139.7281"
11,大島駅,35.68974,139.83437,36.083333333333336,15.8 km,16.516666666666666,8.3 km,29.25,17.5 km,34.666666666666664,25.3 km,23.63333333333333,7.1 km,26.18333333333333,14.8 km,"35.68974, 139.83437"
12,用賀駅,35.626343,139.63382,29.816666666666666,12.0 km,24.43333333333333,19.9 km,18.516666666666666,7.7 km,36.333333333333336,16.9 km,29.266666666666666,23.6 km,41.016666666666666,13.5 km,"35.626343, 139.63382"
13,保谷駅,35.748356,139.5676,48.56666666666667,16.1 km,48.41666666666666,30.9 km,55.15,21.8 km,44.98333333333333,14.5 km,53.16666666666666,29.5 km,57.81666666666667,37.9 km,"35.748356, 139.5676"
14,都立大学駅,35.617752,139.67639,27.85,11.7 km,23.75,13.9 km,17.666666666666668,7.4 km,36.28333333333333,17.4 km,28.566666666666666,17.6 km,29.88333333333333,8.6 km,"35.617752, 139.67639"
15,綾瀬駅,35.762314,139.82492,32.4,23.6 km,20.183333333333334,13.6 km,36.81666666666667,24.8 km,26.23333333333333,16.3 km,24.11666666666667,8.6 km,29.86666666666667,20.1 km,"35.762314, 139.82492"
16,葛西駅,35.663406,139.87312,34.18333333333333,25.0 km,21.98333333333333,15.0 km,28.58333333333333,23.1 km,35.45,29.5 km,25.466666666666665,18.9 km,29.63333333333333,18.2 km,"35.663406, 139.87312"
17,竹ノ塚駅,35.79439,139.79076,37.38333333333333,22.5 km,37.38333333333333,15.6 km,39.88333333333333,25.9 km,29.3,17.4 km,29.78333333333333,11.0 km,45.3,21.9 km,"35.79439, 139.79076"
18,代々木八幡駅,35.669666,139.68892,9.1,2.9 km,17.783333333333335,10.0 km,9.1,2.6 km,21.68333333333333,8.6 km,25.68333333333333,12.2 km,23.75,15.4 km,"35.669666, 139.68892"
19,平和台駅,35.75756,139.65433000000002,32.2,11.9 km,27.3,19.7 km,38.78333333333333,17.5 km,23.48333333333333,7.0 km,32.05,18.4 km,36.71666666666667,26.8 km,"35.75756, 139.65433000000002"
