JapaneseKu,Ku,Total,Residentail,OtherUse,OtherUseOpen,Parks,Unused,Roads,roads2,Farm,Water,WoodsForest,Fields,
千代田区,Chiyoda,"1,136.2",657.5,14.0,13.9,78.0,13.6,313.8,282.3,0.0,59.4,0.0,0.0,
中央区,Chuo,"1,045.3",459.4,16.9,16.9,49.3,37.7,310.1,309.4,0.0,172.0,0.0,0.0,
港　区,Minato,"2,098.5","1,266.8",54.8,54.8,150.4,57.7,502.6,448.0,0.0,66.0,0.1,0.0,
新宿区,Shinjuku,"1,825.4","1,243.8",36.4,36.3,117.3,28.3,387.0,364.8,0.1,11.8,0.4,0.2,
文京区,Bunkyo,"1,135.2",795.6,19.6,19.5,82.4,12.5,220.1,215.9,0.0,5.0,0.0,0.0,
台東区,Taito,"1,007.8",559.1,32.2,32.2,83.6,10.5,282.2,267.6,0.0,40.0,0.0,0.0,
墨田区,Sumida,"1,371.1",758.9,52.7,52.7,92.5,15.9,346.2,319.5,0.0,99.2,0.0,5.7,
江東区,Koto,"4,197.4","1,999.0",189.5,189.5,440.2,182.1,858.7,750.7,1.0,526.8,0.0,0.0,
品川区,Shinagawa,"2,344.7","1,369.7",150.2,150.2,140.2,26.0,561.8,433.3,0.2,92.0,0.0,4.7,
目黒区,Meguro,"1,475.9","1,085.0",34.7,34.5,47.4,22.6,275.0,264.6,2.2,8.6,0.0,0.4,
大田区,Ota,"6,216.2","3,124.3",219.7,219.6,302.1,89.1,"2,057.3",941.6,4.7,358.6,1.2,59.3,
世田谷区,Setagaya,"5,808.0","3,946.9",187.3,186.2,329.7,88.1,"1,040.8","1,001.8",107.6,49.9,18.7,38.9,
渋谷区,Shibuya,"1,511.3","1,042.7",28.5,28.1,93.1,29.8,314.5,288.3,0.1,2.7,0.0,0.0,
中野区,Nakano,"1,557.5","1,120.8",49.1,49.0,52.3,25.0,294.7,276.1,4.0,11.6,0.0,0.0,
杉並区,Suginami,"3,390.0","2,403.6",104.9,103.8,156.7,42.2,607.5,585.6,45.0,26.5,3.5,0.0,
豊島区,Toshima,"1,298.4",892.9,40.3,40.3,49.8,15.7,298.0,266.5,0.1,1.6,0.0,0.0,
北　区,Kita,"2,053.2","1,166.5",69.9,58.0,171.3,48.5,455.1,366.7,0.8,116.5,3.3,21.4,
荒川区,Arakawa,"1,022.5",610.9,46.9,46.9,58.7,14.7,240.8,188.5,0.1,50.4,0.0,0.0,
板橋区,Itabashi,"3,209.1","1,995.5",152.7,152.7,233.2,40.0,658.4,633.9,22.8,82.1,0.5,23.9,
練馬区,Nerima,"4,818.5","3,056.2",251.9,222.7,269.4,85.1,909.7,889.1,214.4,27.8,3.7,0.4,
足立区,Adachi,"5,320.0","2,912.3",329.4,328.0,392.1,109.7,"1,114.9","1,064.9",58.1,296.8,0.7,106.0,
葛飾区,Katsushika,"3,480.8","1,817.7",186.2,184.4,275.4,49.5,711.0,664.6,40.1,305.8,0.0,95.1,
江戸川区,Edogawa,"4,865.0","2,374.1",322.9,322.1,394.7,52.6,"1,006.5",983.3,55.7,523.8,0.2,134.5,
