location,LAT,LON,Eng_Location
東京都練馬区貫井３,35.73884,139.62799,"3 Chome Nukui, Nerima City, Tokyo 176-0021, Japan"
東京都新宿区細工町,35.699005,139.73311,"Saikumachi, Shinjuku City, Tokyo 162-0838, Japan"
東京都荒川区南千住４,35.733772,139.80228,"4 Chome Minamisenju, Arakawa City, Tokyo 116-0003, Japan"
東京都新宿区百人町２,35.70289,139.69815,"2 Chome Hyakunincho, Shinjuku City, Tokyo 169-0073, Japan"
東京都中野区本町４,35.695553,139.67136,"4 Chome Honcho, Nakano City, Tokyo 164-0012, Japan"
東京都練馬区土支田３,35.75976,139.60887,"3 Chome Doshida, Nerima City, Tokyo 179-0076, Japan"
東京都葛飾区高砂７,35.754585,139.86432,"7 Chome Takasago, Katsushika City, Tokyo 125-0054, Japan"
東京都杉並区高円寺南３,35.703312,139.64648,"3 Chome Koenjiminami, Suginami City, Tokyo 166-0003, Japan"
東京都杉並区和泉１,35.675003,139.65732,"1 Chome Izumi, Suginami City, Tokyo 168-0063, Japan"
東京都品川区北品川５,35.621483,139.73264,"5 Chome Kitashinagawa, Shinagawa City, Tokyo 141-0001, Japan"
東京都練馬区豊玉上１,35.736427,139.66753,"1 Chome Toyotamakami, Nerima City, Tokyo 176-0011, Japan"
東京都新宿区北町,35.699825,139.7355,"Kitamachi, Shinjuku City, Tokyo 162-0834, Japan"
東京都中野区南台２,35.684086,139.67136,"2 Chome Minamidai, Nakano City, Tokyo 164-0014, Japan"
東京都千代田区神田司町２,35.69313,139.76744,"2 Chome Kanda Tsukasamachi, Chiyoda City, Tokyo 101-0048, Japan"
東京都杉並区方南１,35.677372,139.66179,"1 Chome Honan, Suginami City, Tokyo 168-0062, Japan"
東京都杉並区本天沼１,35.713512,139.63054,"1 Chome Honamanuma, Suginami City, Tokyo 167-0031, Japan"
東京都新宿区北新宿４,35.707207,139.69177,"4 Chome Kitashinjuku, Shinjuku City, Tokyo 169-0074, Japan"
東京都板橋区中台１,35.76709,139.67966,"1 Chome Nakadai, Itabashi City, Tokyo 174-0064, Japan"
東京都中野区野方２,35.714615,139.65605,"2 Chome Nogata, Nakano City, Tokyo 165-0027, Japan"
東京都板橋区成増１,35.77537,139.63054,"1 Chome Narimasu, Itabashi City, Tokyo 175-0094, Japan"
東京都渋谷区本町４,35.68653,139.68028,"4 Chome Honmachi, Shibuya City, Tokyo 151-0071, Japan"
東京都新宿区南元町,35.67988,139.7237,"Minamimotomachi, Shinjuku City, Tokyo 160-0012, Japan"
東京都江東区永代１,35.67486,139.78917,"1 Chome Eitai, Koto City, Tokyo 135-0034, Japan"
東京都台東区三筋１,35.704,139.78598,"1 Chome Misuji, Taito City, Tokyo 111-0055, Japan"
東京都中野区江古田１,35.725876,139.67264,"1 Chome Egota, Nakano City, Tokyo 165-0022, Japan"
東京都杉並区西荻北３,35.70525,139.59868,"3 Chome Nishiogikita, Suginami City, Tokyo 167-0042, Japan"
東京都板橋区東新町１,35.75812,139.68156,"1 Chome Toshincho, Itabashi City, Tokyo 174-0074, Japan"
東京都豊島区長崎１,35.728237,139.6956,"1 Chome Nagasaki, Toshima City, Tokyo 171-0051, Japan"
東京都杉並区宮前４,35.69146,139.60568,"4 Chome Miyamae, Suginami City, Tokyo 168-0081, Japan"
東京都新宿区西落合２,35.72054,139.67647,"2 Chome Nishiochiai, Shinjuku City, Tokyo 161-0031, Japan"
東京都板橋区赤塚５,35.780197,139.64394,"5 Chome Akatsuka, Itabashi City, Tokyo 175-0092, Japan"
東京都江戸川区西小松川町,35.697613,139.86113,"Nishikomatsugawamachi, Edogawa City, Tokyo 132-0032, Japan"
東京都中野区鷺宮１,35.723114,139.64584,"1 Chome Saginomiya, Nakano City, Tokyo 165-0032, Japan"
東京都品川区南品川６,35.6109,139.73775,"6 Chome Minamishinagawa, Shinagawa City, Tokyo 140-0004, Japan"
東京都新宿区西五軒町,35.7069,139.73743,"Nishigokencho, Shinjuku City, Tokyo 162-0812, Japan"
東京都練馬区高野台１,35.742744,139.6178,"1 Chome Takanodai, Nerima City, Tokyo 177-0033, Japan"
東京都北区上十条３,35.761036,139.7173,"3 Chome Kamijujo, Kita City, Tokyo 114-0034, Japan"
東京都台東区台東３,35.704624,139.77895,"3 Chome Taito, Taito City, Tokyo 110-0016, Japan"
東京都品川区豊町６,35.60449,139.71603,"6 Chome Yutakacho, Shinagawa City, Tokyo 142-0042, Japan"
東京都目黒区三田２,35.639812,139.70964,"2 Chome Mita, Meguro City, Tokyo 153-0062, Japan"
東京都練馬区南田中５,35.737885,139.61142,"5 Chome Minamitanaka, Nerima City, Tokyo 177-0035, Japan"
東京都品川区中延４,35.60525,139.7122,"4 Chome Nakanobu, Shinagawa City, Tokyo 142-0053, Japan"
東京都新宿区早稲田鶴巻町,35.707928,139.72498,"Wasedatsurumakicho, Shinjuku City, Tokyo 162-0041, Japan"
東京都江戸川区平井６,35.711124,139.84322,"6 Chome Hirai, Edogawa City, Tokyo 132-0035, Japan"
東京都新宿区左門町,35.685898,139.72083,"Samoncho, Shinjuku City, Tokyo 160-0017, Japan"
東京都文京区湯島３,35.70585,139.7684,"3 Chome Yushima, Bunkyo City, Tokyo 113-0034, Japan"
東京都世田谷区上馬４,35.636395,139.66115,"4 Chome Kamiuma, Setagaya City, Tokyo 154-0011, Japan"
東京都世田谷区桜丘５,35.645206,139.62035,"5 Chome Sakuragaoka, Setagaya City, Tokyo 156-0054, Japan"
東京都墨田区向島３,35.71306,139.80931,"3 Chome Mukojima, Sumida City, Tokyo 131-0033, Japan"
東京都荒川区東日暮里５,35.727283,139.77608,"5 Chome Higashinippori, Arakawa City, Tokyo 116-0014, Japan"
東京都千代田区三番町,35.690376,139.74413,"Sanbancho, Chiyoda City, Tokyo 102-0075, Japan"
東京都新宿区四谷三栄町,35.688522,139.72592,"Yotsuya Saneicho, Shinjuku City, Tokyo 160-0008, Japan"
東京都杉並区清水３,35.71754,139.6178,"3 Chome Shimizu, Suginami City, Tokyo 167-0033, Japan"
東京都品川区荏原４,35.61468,139.70709,"4 Chome Ebara, Shinagawa City, Tokyo 142-0063, Japan"
東京都足立区西綾瀬２,35.765087,139.81314,"2 Chome Nishiayase, Adachi City, Tokyo 120-0014, Japan"
