Stations,LAT,LON,Eng_Location
上井草駅,35.725258000000004,139.60295,"Japan, 〒167-0023 Tōkyō-to, Suginami City, Kamiigusa, 3-chōme, 上井草"
本駒込駅,35.72504,139.75365,"Honkomagome Station, Japan"
五反田駅,35.62616,139.7236,"Gotanda Station, 1 Chome Higashigotanda, Shinagawa City, Tokyo 141-0022, Japan"
鶯谷駅,35.721554,139.77907,"Japan, 鶯谷駅"
新宿御苑前駅,35.68858,139.71068,"Japan, 新宿御苑前駅"
亀戸駅,35.697296,139.82599,"Japan, 亀戸駅"
練馬駅,35.737843,139.65392,"Nerima, Nerima City, Tōkyō-to, Japan"
井荻駅,35.724674,139.61562,"Iogi, 5-chōme Shimoigusa, Suginami City, Tōkyō-to 167-0022, Japan"
高田馬場駅,35.713046999999996,139.70407,"Takadanobaba Station, 1 Chome-35-2 Takadanobaba, Shinjuku City, Tokyo 169-0075, Japan"
江戸川橋駅,35.709236,139.7341,"Japan, 〒112-0014 Tōkyō-to, Bunkyo City, Sekiguchi, 1-chōme, 江戸川橋駅"
大塚駅,35.73183,139.7281,"Otsuka Station, 3 Chome-33-1 Minamiotsuka, Toshima City, Tokyo 170-0005, Japan"
大島駅,35.68974,139.83437,"Ojima Station, 5 Chome-10-8 Ojima, Koto City, Tokyo 136-0072, Japan"
用賀駅,35.626343,139.63382,"Yoga Station, 2 Chome-39 Yoga, Setagaya City, Tokyo 158-0097, Japan"
保谷駅,35.748356,139.5676,"Hoya Station, 3 Chome-14-30 Higashicho, Nishitokyo, Tokyo 202-0012, Japan"
都立大学駅,35.617752,139.67639,"Toritsu-daigaku Station, 1 Chome-5-1 Nakane, Meguro City, Tokyo, Japan"
綾瀬駅,35.762314,139.82492,"Ayase, 3-chōme-1 Ayase, Adachi City, Tōkyō-to 120-0005, Japan"
葛西駅,35.663406,139.87312,"Kasai, Edogawa City, Tōkyō-to, Japan"
竹ノ塚駅,35.79439,139.79076,"Takenotsuka Station, Japan"
代々木八幡駅,35.669666,139.68892,"Yoyogi-Hachiman Station, 5-chōme-6 Yoyogi, Shibuya City, Tōkyō-to 151-0053, Japan"
平和台駅,35.75756,139.65433000000002,"Heiwadai Station, Japan"
巣鴨駅,35.733414,139.73928999999998,"Japan, 〒170-0002 Tokyo, 豊島区Sugamo, 1−16−８ 巣鴨駅"
学芸大学駅,35.628864,139.68533,"Gakugeidaigaku Station, Japan"
田町駅,35.645653,139.74765,"Tamachi Station, ５丁目-３４-7 芝 港区 東京都 108-0014, Japan"
品川駅,35.62847,139.73875,"Shinagawa Station, 3 Chome Takanawa, Minato City, Tokyo, Japan"
千駄木駅,35.72576,139.76335,"Sendagi Station, Japan"
大山駅,35.74853,139.70228999999998,"Oyama Station, 4 Ōyamachō, Itabashi City, Tōkyō-to 173-0023, Japan"
水天宮前駅,35.682990000000004,139.78516000000002,"Suitengu-Mae Station, 2 Chome-1-1 Nihonbashikakigaracho, Chuo City, Tokyo 103-0014, Japan"
東高円寺駅,35.705303,139.64967,"Kōenji Station, 4 Chome Koenjiminami, 杉並区 Tokyo, Japan"
北綾瀬駅,35.77701,139.8321,"Kita-Ayase Station, Japan"
地下鉄成増駅,35.776695000000004,139.6312,"Japan, 〒175-0094 Tōkyō-to, Itabashi City, Narimasu, 地下鉄成増"
三軒茶屋駅,35.643615999999994,139.6714,"Sangenjaya Station, 2 Chome-15 Taishido, Setagaya City, Tokyo 154-0004, Japan"
赤羽岩淵駅,35.783504,139.72182,"Akabane-Iwabuchi Station, １-５２-8 赤羽 北区 東京都 115-0045, Japan"
